player,score,platform,style,proof level,vid pb,notes,proof link,time,editor
Kojtek,1112080,Emulator,Tap,Image,1041100,,,1622852167127,Hydrantdude
Smooth,1125658,Emulator,Tap,Video,,,,1619450014646,Cool Iceage
Smooth,1137307,Emulator,Tap,Video,,CTM Qual,,1653861376028,NerdTheBox
Smooth,1143154,Emulator,Tap,Video,1143154,,,1659957126721,NerdTheBox
Smooth,1146987,Emulator,Tap,Video,1146987,,,1661193874493,NerdTheBox
Smooth,1177946,Emulator,Tap,Video,1177946,,,1678281862786,Samual Finch
EricICX,1184960,Console,Tap,Video,,,,1587398624074,Hydrantdude
EricICX,1294440,Console,Tap,Video,,,,1592186767157,Hydrantdude
EricICX,1312320,Console,Tap,Video,,,,1597885444875,Hydrantdude
EricICX,1312700,Console,Tap,Video,,2 1.3s,,1608668810318,Hydrantdude
EricICX,1319160,Console,Tap,Video,,3 1.3s,https://youtu.be/Llvl6IiYcK8,1625176363803,EricICX
EricICX,1320780,Console,DAS+Tap,Video,,4 1.3s,,1638252188471,EricICX
EricICX,1466460,Console,Roll,Video,,19 start,https://www.youtube.com/watch?v=UX8g8GMQvuM,1642520684254,NerdTheBox
EricICX,1497860,Console,Roll,Video,,,,1648764248510,NerdTheBox
EricICX,3772380,Console,Roll,Video,3772380,what. Skipped 1.5-3.6 because thats how tetris works yes,https://www.youtube.com/watch?v=SYMdWUYDakk,1648863828020,NerdTheBox
EricICX,6492500,Console,Roll,Video+,6492500,Skipped 3.8-6.3. in CTM ME SPS,https://www.youtube.com/watch?v=SctVBfLjpLg,1660801828571,J Huff
RaduxSepul,1141500,Console,Roll,Video+,1141500,,,1678398069803,Samual Finch
DanV,1103140,Emulator,Tap,Video,,History Viewer,,1614274683620,Hydrantdude
DanV,1104700,Console,Tap,Partial Video,,127 lines+,,1623515049167,Cool Iceage
DanV,1185220,Console,Tap,Video,,,,1625015705120,Hydrantdude
DanV,1186260,Console,Tap,Video,,,,1631541062045,Cool Iceage
DanV,1216880,Emulator,Tap,Video,,console pb B86260,,1636220500090,NerdTheBox
DanV,1290020,Emulator,Tap+Roll,Video,,console pb 1186260,,1650712290131,NerdTheBox
DanV,1295340,Emulator,Tap+Roll,Video,,console pb 1186260,,1650819540903,NerdTheBox
DanV,1320380,Emulator,Roll,Video,,console pb 1186260. In Deathmatch,,1653863018666,NerdTheBox
DanV,1396500,Emulator,Roll,Video,1396500,has 1.3 on console,,1654567261983,Hydrantdude
DanV,1444880,Console,Roll,Video+,1444880,,,1662842797538,Hydrantdude
DanV,1573200,Console,Roll,Image,1444880,discord video pb,https://discordapp.com/channels/374368504465457153/699855227162984469/1018282512767791234,1664496511867,Hydrantdude
DanV,1635100,Console,Roll,Video,1635100,,,1681150802996,Samual Finch
